aakkosellinen, aakkosellisen, aakkosellista, aakkosellisena, aakkoselliseen, aakkosellisten, aakkosellisia, aakkosellisina, aakkosellisissa, aakkosellisiin
 aatteellinen, aatteellisen, aatteellista, aatteellisena, aatteelliseen, aatteellisten, aatteellisia, aatteellisina, aatteellisissa, aatteellisiin
 absoluuttinen, absoluuttisen, absoluuttista, absoluuttisena, absoluuttiseen, absoluuttisten, absoluuttisia, absoluuttisina, absoluuttisissa, absoluuttisiin
 abstrakti, abstraktin, abstraktia, abstraktina, abstraktiin, abstraktien, abstrakteja, abstrakteina, abstrakteissa, abstrakteihin
 abstraktinen, abstraktisen, abstraktista, abstraktisena, abstraktiseen, abstraktisten, abstraktisia, abstraktisina, abstraktisissa, abstraktisiin
 absurdi, absurdin, absurdia, absurdina, absurdiin, absurdien, absurdeja, absurdeina, absurdeissa, absurdeihin
 adjektiivinen, adjektiivisen, adjektiivista, adjektiivisena, adjektiiviseen, adjektiivisten, adjektiivisia, adjektiivisina, adjektiivisissa, adjektiivisiin
 adverbiaalinen, adverbiaalisen, adverbiaalista, adverbiaalisena, adverbiaaliseen, adverbiaalisten, adverbiaalisia, adverbiaalisina, adverbiaalisissa, adverbiaalisiin
 adverbinen, adverbisen, adverbista, adverbisena, adverbiseen, adverbisten, adverbisia, adverbisina, adverbisissa, adverbisiin
 adversatiivinen, adversatiivisen, adversatiivista, adversatiivisena, adversatiiviseen, adversatiivisten, adversatiivisia, adversatiivisina, adversatiivisissa, adversatiivisiin
 affektiivinen, affektiivisen, affektiivista, affektiivisena, affektiiviseen, affektiivisten, affektiivisia, affektiivisina, affektiivisissa, affektiivisiin
 affektinen, affektisen, affektista, affektisena, affektiseen, affektisten, affektisia, affektisina, affektisissa, affektisiin
 aggressiivinen, aggressiivisen, aggressiivista, aggressiivisena, aggressiiviseen, aggressiivisten, aggressiivisia, aggressiivisina, aggressiivisissa, aggressiivisiin
 agnostinen, agnostisen, agnostista, agnostisena, agnostiseen, agnostisten, agnostisia, agnostisina, agnostisissa, agnostisiin
 ahdistunut, ahdistuneen, ahdistunutta, ahdistuneena, ahdistuneeseen, ahdistuneiden, ahdistuneita, ahdistuneina, ahdistuneissa, ahdistuneisiin
 ahkera, ahkeran, ahkeraa, ahkerana, ahkeraan, ahkerien, ahkeria, ahkerina, ahkerissa, ahkeriin
 ahnas, ahnaan, ahnasta, ahnaana, ahnaaseen, ahnaiden, ahnaita, ahnaina, ahnaissa, ahnaisiin
 ahne, ahneen, ahnetta, ahneena, ahneeseen, ahneiden, ahneita, ahneina, ahneissa, ahneisiin
 aiheellinen, aiheellisen, aiheellista, aiheellisena, aiheelliseen, aiheellisten, aiheellisia, aiheellisina, aiheellisissa, aiheellisiin
 aistikas, aistikkaan, aistikasta, aistikkaana, aistikkaaseen, aistikkaiden, aistikkaita, aistikkaina, aistikkaissa, aistikkaisiin
 aistillinen, aistillisen, aistillista, aistillisena, aistilliseen, aistillisten, aistillisia, aistillisina, aistillisissa, aistillisiin
 ajallinen, ajallisen, ajallista, ajallisena, ajalliseen, ajallisten, ajallisia, ajallisina, ajallisissa, ajallisiin
 ajatuksellinen, ajatuksellisen, ajatuksellista, ajatuksellisena, ajatukselliseen, ajatuksellisten, ajatuksellisia, ajatuksellisina, ajatuksellisissa, ajatuksellisiin
 akateeminen, akateemisen, akateemista, akateemisena, akateemiseen, akateemisten, akateemisia, akateemisina, akateemisissa, akateemisiin
 aksiaalinen, aksiaalisen, aksiaalista, aksiaalisena, aksiaaliseen, aksiaalisten, aksiaalisia, aksiaalisina, aksiaalisissa, aksiaalisiin
 aksiomaattinen, aksiomaattisen, aksiomaattista, aksiomaattisena, aksiomaattiseen, aksiomaattisten, aksiomaattisia, aksiomaattisina, aksiomaattisissa, aksiomaattisiin
 aktiivinen, aktiivisen, aktiivista, aktiivisena, aktiiviseen, aktiivisten, aktiivisia, aktiivisina, aktiivisissa, aktiivisiin
 aktuaalinen, aktuaalisen, aktuaalista, aktuaalisena, aktuaaliseen, aktuaalisten, aktuaalisia, aktuaalisina, aktuaalisissa, aktuaalisiin
 akustinen, akustisen, akustista, akustisena, akustiseen, akustisten, akustisia, akustisina, akustisissa, akustisiin
 alakuloinen, alakuloisen, alakuloista, alakuloisena, alakuloiseen, alakuloisten, alakuloisia, alakuloisina, alakuloisissa, alakuloisiin
 alamainen, alamaisen, alamaista, alamaisena, alamaiseen, alamaisten, alamaisia, alamaisina, alamaisissa, alamaisiin
 alentuva, alentuvan, alentuvaa, alentuvana, alentuvaan, alentuvien, alentuvia, alentuvina, alentuvissa, alentuviin
 alentuvainen, alentuvaisen, alentuvaista, alentuvaisena, alentuvaiseen, alentuvaisten, alentuvaisia, alentuvaisina, alentuvaisissa, alentuvaisiin
